Headlines,I might be too strung out on compliments overdosed on confidence,0.208843097,personal_care_and_beauty 0.02244912698408443,gender_issues 0.02286783822518742,archery 0.07351997589289135,fashion 0.03504086145817351,dieting 0.028464598455789202,strung compliments overdosed
Headlines,Started not to give a fuck and stopped fearing the consequence,0.06295573,news 0.022363819294532253,gender_issues 0.02149994767853869,personal 0.029975120838461187,romance 0.025370629740135348,relationships 0.018403002489887462,consequence stopped fearing
Headlines,Drinking every night because we drink to my accomplishments,0.695739329,school 0.04588949682291622,running 0.052927768039715065,wine 0.05390015714886343,nutrition 0.03233780568330648,beer 0.06993929397529824,drinking accomplishments drink
Headlines,Faded way too long I'm floating in and out of consciousness,0.004662604,drugs 0.033319494909921935,philosophy 0.15783311338723927,poetry 0.022269961937771837,yoga 0.030691734299080998,buddhism 0.033142078611309314,floating consciousness faded
Headlines,And they wanna see me pick back up well where'd I leave it at,0.587094247,gardening 0.02202457744463067,bicycling 0.02053169034716855,nfl 0.02370626633455232,skateboarding 0.020099851258919808,archery 0.024271802698497554,leave wanna pick
Headlines,Tuck my napkin in my shirt cause I'm just mobbin' like that,0.783359468,parenting 0.04324219923877268,running 0.056854940341169745,skateboarding 0.03771336500378386,yoga 0.0542926269282526,fashion 0.06338501803350287,mobbin napkin tuck
Headlines,You know good and well that you don't want a problem like that,0.882347524,gender_issues 0.028451639983180628,personal 0.03307053853033431,romance 0.04973828895252563,relationships 0.0682458216502799,christianity 0.027419005140407533,problem you want
Headlines,You gone make someone around me catch a body like that,0.22094585,fitness 0.0492687219264493,fishing 0.1270605680760614,personal 0.027262914715909355,relationships 0.02787251808261565,dieting 0.036674167505284974,catch gone body
Headlines,Drizzy got the money so Drizzy gonna pay it,0.377374649,economic_discussion 0.045272273334294934,personalfinance 0.3984996394235447,business 0.06188866023412515,poker 0.05306239194693852,boxing 0.020430629374462224,pay drizzy gonna
Headlines,That the real is on the rise fuck them other guys,0.497082204,gender_issues 0.0315657127317816,conspiracy 0.035325581539831445,military 0.0321732875794562,atheism 0.02973658395472682,political_discussion 0.028793262295372973,real rise guys
Headlines,I even gave them a chance to decide,0.49921459,news 0.017824246002307493,religion 0.024960216917148788,wedding 0.02103719353166759,relationships 0.024396241313652225,political_discussion 0.01786220507073536,chance decide gave
Headlines,Yeah I be yelling out money over everything money on my mind,0.206618488,drugs 0.026099772405699443,personalfinance 0.04771211194817658,investment 0.03489336221675125,business 0.025441202692880287,realestate 0.03405919233550244,money mind yelling
Headlines,Then she wanna ask when it got so empty,0.141630948,parenting 0.03390291742615638,tattoo 0.028244765762011795,personal_care_and_beauty 0.024570960396432997,romance 0.040297940042301,surfing 0.027907620513569497,ask got wanna
Headlines,Tell her I apologize it happened over time,0.403512001,tattoo 0.02655770256340004,yoga 0.025079347084191985,personal 0.026710536692255843,romance 0.041923739262004364,relationships 0.1892150084396234,apologize tell happened
Headlines,If they don't get it they'll be over you,0.610521019,news 0.0295311505369315,business 0.03982511511706412,technology 0.04248595345550793,realestate 0.022273442193964935,relationships 0.024265254921279903,ll don you
Headlines,That new shit that you got is overdue,0.623400986,drugs 0.018980680432141094,music 0.01929088382327682,skateboarding 0.020723297249921665,gaming 0.026075896701070304,personal 0.022368264554293204,new shit overdue
Headlines,You better do what you suppose to do,0.430212051,school 0.04180159083852688,jobs 0.027341268921719175,personal 0.03235763710985239,singing 0.021234068981170882,relationships 0.03176435750793791,better you suppose
Headlines,I'm like why I gotta be all that but still I can't deny the fact that it's true,0.69166708,lgbt 0.03209908447900279,sports 0.02511838275328344,gender_issues 0.024156434546819653,nba 0.028320152030741765,christianity 0.0231559683524086,deny true gotta
